headline,snippet,web_url,lead_paragraph
"{u'main': u'Canada: Inuit Say U.S. Emissions Violate Rights', u'kicker': u'World Briefing | Americas', u'print_headline': u'Canada: Inuit Say U.S. Emissions Violate Rights', u'content_kicker': u'World Briefing | Americas'}",Inuit from Canada’s far north told the Inter-American Commission on Human Rights that greenhouse gases from the United States were ruining their way of life and that the consequent warming had led to having to install air- conditioners. The dele...,https://www.nytimes.com/2007/03/02/world/americas/02briefs-inuit.html,"Inuit from Canada’s far north told the Inter-American Commission on Human Rights that greenhouse gases from the United States were ruining their way of life and that the consequent warming had led to having to install air- conditioners. The delegation also told the commission, based in Washington, that the American contribution to emissions, the most in the world, should be considered a human rights violation."
"{u'main': u'U.S.-Canadian Group Plans to Curb Emissions', u'print_headline': u'U.S.-Canadian Group Plans to Curb Emissions'}",An alliance of Western states and Canadian provinces unveiled a draft proposal intended to achieve a 15 percent cut in greenhouse-gas emissions by 2020....,https://www.nytimes.com/2008/09/24/us/24climate.html,An alliance of Western states and Canadian provinces unveiled a draft proposal intended to achieve a 15 percent cut in greenhouse-gas emissions by 2020.
"{u'main': u'World Briefing | Americas: Canada: After 3,000 Years, Ice Shelf Broke Off'}","A 41-square-mile shelf of floating ice that jutted into the Arctic Ocean for 3,000 years from Canada's northernmost shore broke away in the summer of 2005, apparently freed by sharply warming temperatures and jostling wind and waves, scientists sa...",https://query.nytimes.com/gst/fullpage.html?res=9507EFDD1630F933A05751C1A9609C8B63,"A 41-square-mile shelf of floating ice that jutted into the Arctic Ocean for 3,000 years from Canada's northernmost shore broke away in the summer of 2005, apparently freed by sharply warming temperatures and jostling wind and waves, scientists said. The Ayles ice shelf, as the 100-foot-thick slab was called, drifted out of a fjord along the north coast of Ellesmere Island when the sheath of floating sea ice that pressed against the coast there even in summers was replaced by open waters, the scientists said. Luke Copland of the University of Ottawa's Laboratory for Cryospheric Research said it was premature to attribute the breakaway to human-caused climate change. ANDREW C. REVKIN"
{u'main': u'Huge Ice Shelf Is Reported To Break Up In Canada'},"A large ice shelf that has jutted into the Arctic Ocean from northernmost Canada for at least 3,000 years has broken up over the last two years, providing fresh evidence that the region is warming past thresholds that can produce abrupt changes, s...",https://www.nytimes.com/2003/09/23/world/huge-ice-shelf-is-reported-to-break-up-in-canada.html,"A large ice shelf that has jutted into the Arctic Ocean from northernmost Canada for at least 3,000 years has broken up over the last two years, providing fresh evidence that the region is warming past thresholds that can produce abrupt changes, scientists said yesterday. The scientists, from Laval University in Quebec and the University of Alaska, Fairbanks, described the changes in a paper published in the Geophysical Research Letters."
"{u'main': u'Arctic Ice Shelf Broke Off Canadian Island', u'print_headline': u'After 3,000 Years, Arctic Ice Shelf Broke Off Canadian Island, Scientists Find'}",The breaking of the 25-square-mile shelf of floating ice appeared to be a result of unusual Arctic warmth in 2005 on top of a longer-term warming trend....,https://www.nytimes.com/2006/12/30/science/earth/30ice.html,The breaking of the 25-square-mile shelf of floating ice appeared to be a result of unusual Arctic warmth in 2005 on top of a longer-term warming trend.
{u'main': u'A Warming Trend For Canadian Stocks?'},"START with a strong, rebounding economy. Add an apparently undervalued stock market. Throw in a national currency that seems to have been pummeled by one Arctic blast after another.    To many investors, that sounds like a recipe for bargains. And...",https://www.nytimes.com/1998/06/28/business/a-warming-trend-for-canadian-stocks.html,"START with a strong, rebounding economy. Add an apparently undervalued stock market. Throw in a national currency that seems to have been pummeled by one Arctic blast after another. To many investors, that sounds like a recipe for bargains. And it explains why some are hungrily watching the Canadian stock market."
"{u'main': u'Canada Announces Goals for Reducing Emissions', u'print_headline': u'Canada Announces Goals For Reducing Emissions'}",Canadian industries must cut the rate at which they produce gases linked to global warming by 18 percent over the next three years....,https://www.nytimes.com/2007/04/27/business/worldbusiness/27green.html,Canadian industries must cut the rate at which they produce gases linked to global warming by 18 percent over the next three years.
{u'main': u'Canadian Lawmakers Advance Climate Pact as Discord Grows'},"The House of Commons voted overwhelmingly to ratify the Kyoto climate change protocol today, but widespread disapproval by powerful provincial governments and business groups has called into question whether the agreement will ever be fully put in...",https://www.nytimes.com/2002/12/11/world/canadian-lawmakers-advance-climate-pact-as-discord-grows.html,"The House of Commons voted overwhelmingly to ratify the Kyoto climate change protocol today, but widespread disapproval by powerful provincial governments and business groups has called into question whether the agreement will ever be fully put in place in Canada. Proponents said Canada's ratification was a major step forward for the 1997 treaty. Canada, one of the world's largest producers of carbon dioxide emissions per capita, is one of only a few large polluting countries among about 100 nations to have ratified or moved toward ratification."
{u'main': u'Canadian Emissions Market Recommended'},A government panel recommended that prices be set for greenhouse gas emissions....,https://www.nytimes.com/2008/01/08/business/worldbusiness/08canada.html,A government panel recommended that prices be set for greenhouse gas emissions.
"{u'main': u'Global Warming Could Cost Canada Billions, Study Warns', u'kicker': u'Green'}","An advisory group ran several different computer models and concluded that depending on the rate at which the planet's temperature increases, the cost to Canada could reach $21 billion to $43 billion a year by 2050....",https://green.blogs.nytimes.com/2011/09/30/global-warming-could-cost-canada-billions-study-warns/,A report by an advisory board to the government of Canada estimates that the effects of global warming will cost the country's economy 5 billion Canadian dollars a year by 2020 and that those costs will rise substantially afterward.
"{u'main': u'Warming Temperatures Threaten Fragile Balance in Canadian Arctic', u'content_kicker': u'Nature in the Balance'}","Hot summers are becoming more frequent, an ominous sign for the polar desert ecosystems that rely on stable ground ice....",https://www.nytimes.com/2014/09/23/science/warming-temperatures-threaten-fragile-balance-in-canadian-arctic.html,"Hot summers are becoming more frequent, an ominous sign for the polar desert ecosystems that rely on stable ground ice."
"{u'main': u'Global Warming Could Cost Canada Billions, Study Warns', u'kicker': u'Green Blog'}","An advisory group ran several different computer models and concluded that depending on the rate at which the planet's temperature increases, the cost to Canada could reach $21 billion to $43 billion a year by 2050....",https://green.blogs.nytimes.com/2011/09/30/global-warming-could-cost-canada-billions-study-warns/,
{u'main': u'Canada Sets Goal to Cut Car Emissions'},Two top Canadian ministers said Wednesday that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade....,https://www.nytimes.com/2004/11/18/business/18auto.html,"Two top Canadian ministers said Wednesday that they had resolved to cut global-warming emissions of cars and trucks sold in Canada by 25 percent by the end of the decade. The commitment means that the auto industry faces steep cuts in greenhouse gases in Canada as well as in California and the Northeastern United States, a geographic expanse that encompasses nearly one-third of the cars and trucks sold in North America."
{u'main': u'Canada Debates Emissions'},Canada's Parliament urged the minority Conservative government on Monday to stick to emissions targets laid out by the Kyoto protocol on global warming -- targets that the government contends cannot be met.     Legislators voted 161 to 115 to back...,/data/daily/2007/02/06/655988.sgml,"Canada's Parliament urged the minority Conservative government on Monday to stick to emissions targets laid out by the Kyoto protocol on global warming -- targets that the government contends cannot be met. Legislators voted 161 to 115 to back a motion calling on the government to commit itself to the Kyoto protocol. Although the motion was nonbinding, opposition legislators will use it to press Prime Minister Stephen Harper."
"{u'main': u'Justin Trudeau Is Expected to Set a Pragmatic, Not Partisan, Course in Canada', u'print_headline': u'Trudeau Is Expected to Set a Pragmatic, Not Partisan, Course in Canada'}","The coming Canadian prime minister is expected to move swiftly on issues that do not require parliamentary approval, and make vague commitments on those that do not....",https://www.nytimes.com/2015/10/22/world/americas/trudeau-is-expected-to-set-a-pragmatic-not-partisan-course-in-canada.html,"The coming Canadian prime minister is expected to move swiftly on issues that do not require parliamentary approval, and make vague commitments on those that do not."
"{u'seo': u'Outdoor Skating, a Joy of Winter in Canada, Feels Effects of Changing Climate', u'main': u'Outdoor Skating, Winter\u2019s Joy in Canada, Feels Effects of Changing Climate', u'print_headline': u'Outdoor Skating, Winter&#8217;s Joy in Canada, Feels Effects of Changing Climate'}","This winter on a canal in Ottawa, the weather allowed only 28 skating days, which approached the record for the shortest season: 26 days, set in 2002....",https://www.nytimes.com/2012/03/18/sports/outdoor-skating-a-joy-of-winter-in-canada-feels-effects-of-changing-climate.html,"This winter on a canal in Ottawa, the weather allowed only 28 skating days, which approached the record for the shortest season: 26 days, set in 2002."
"{u'seo': u'Canada&#8217;s Oil, the World&#8217;s Carbon', u'main': u'Canada\u2019s Oil, the World\u2019s Carbon', u'kicker': u'Editorial', u'print_headline': u'Canada\u2019s Oil, the World\u2019s Carbon', u'content_kicker': u'Editorial'}","In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?...",https://www.nytimes.com/2012/07/30/opinion/canadas-oil-the-worlds-carbon.html,"In assessing the Keystone XL pipeline, the Obama administration must ask an essential question: What is the pipeline’s likely effect on the climate?"
"{u'main': u'Canada: Ontario to Protect Forest', u'print_headline': u'Canada: Ontario To Protect Forest', u'content_kicker': u'World Briefing | the Americas'}",The Ontario provincial government said it would conserve a huge swath of its forest to protect polar bears and other animals and help fight climate change....,https://www.nytimes.com/2008/07/15/world/americas/15briefs-ONTARIOTOPRO_BRF.html,The Ontario provincial government said it would conserve a huge swath of its forest to protect polar bears and other animals and help fight climate change.
"{u'main': u'From the Fire Hose: Warming Slowdown, Deep-Ocean Waves, Canadian Crude Inferno', u'kicker': u'Dot Earth'}",An in-depth analysis of the recent slowdown in global warming finds lots of theories and few firm facts....,https://dotearth.blogs.nytimes.com/2013/09/11/more-on-warming-slowdown-mislabeled-crude-in-canadian-train-inferno/,
"{u'main': u'Oil Sands to Raise Emissions, Canadian Report Says', u'kicker': u'Green'}","Canada’s environment agency forecasts that greenhouse gas emissions from oil sands will triple to 92 million metric tons by 2020 from a base level of 30 million metric tons in 2005, offsetting any progress....",https://green.blogs.nytimes.com/2011/08/08/oil-sands-to-boost-emissions-canadian-report-says/,"The Canadian government has long fought efforts by politicians and environmentalists in other countries, including the United States, to characterize oil sands production as “dirty oil.” But an analysis quietly released late last month by its environmental agency indicates that the tar-like deposits will become an increasingly significant source of the country’s greenhouse gas emissions by the end of the decade."
"{u'main': u'From the Fire Hose: Warming Slowdown, Deep-Ocean Waves, Canadian Crude Inferno', u'kicker': u'Dot Earth'}",An in-depth analysis of the recent slowdown in global warming finds lots of theories and few firm facts....,https://dotearth.blogs.nytimes.com/2013/09/11/more-on-warming-slowdown-mislabeled-crude-in-canadian-train-inferno/,
{u'main': u'Canada Says It May Emulate California on Auto Emissions'},The environment minister of Canada said yesterday that his country would emulate California's new law aimed at curbing automotive global warming emissions if carmakers did not agree to make significant reductions.      ''Unless we get a voluntary ...,https://www.nytimes.com/2004/03/12/business/canada-says-it-may-emulate-california-on-auto-emissions.html,"The environment minister of Canada said yesterday that his country would emulate California's new law aimed at curbing automotive global warming emissions if carmakers did not agree to make significant reductions. ''Unless we get a voluntary agreement, our intention is to make use of the California model,'' David Anderson, Canada's environmental minister, said in an interview shortly before a speech about global warming at the University of Toronto."
{u'main': u'Carmakers in Canada to Cut Emissions'},"Major automakers have agreed to cut the emissions of greenhouse gases by the end of the decade, Canada's minister of natural resources said Wednesday....",https://www.nytimes.com/2005/03/24/business/worldbusiness/24emissions.html,"Major automakers have agreed to cut the emissions of greenhouse gases by the end of the decade, Canada's minister of natural resources said Wednesday. While offering little detail, the minister, John Efford, told Canada's House of Commons that a deal had been reached. News of the agreement was first reported by The Globe and Mail of Toronto."
"{u'main': u'Pollution From Canadian Oil Sands Vapor Is Substantial, Study Finds'}","The pollution coming from the process is rivaled by only the largest metropolitan areas, like Los Angeles, in North America....",https://www.nytimes.com/2016/05/26/business/energy-environment/pollution-from-canadian-oil-sands-vapor-is-substantial-study-finds.html,"The pollution coming from the process is rivaled by only the largest metropolitan areas, like Los Angeles, in North America."
"{u'seo': u'Canada Leaving Kyoto Protocol on Climate Change', u'main': u'Canada Announces Exit From Kyoto Climate Treaty', u'print_headline': u'Canada Announces Exit From Kyoto Climate Treaty'}","In announcing the decision, government officials indicated that the possibility of huge fines for Canada’s failure to meet greenhouse gas emissions targets had played a role....",https://www.nytimes.com/2011/12/13/science/earth/canada-leaving-kyoto-protocol-on-climate-change.html,"In announcing the decision, government officials indicated that the possibility of huge fines for Canada’s failure to meet greenhouse gas emissions targets had played a role."
{u'main': u'Canada and Automakers Agree to Emissions Reductions'},Canada and nearly all the world's major automakers reached an agreement under which the companies would voluntarily reduce the emissions of their vehicles....,https://www.nytimes.com/2005/04/06/automobiles/06auto.html,"The Canadian government and nearly all the world's major automakers reached an agreement Tuesday under which the companies would voluntarily reduce the greenhouse gas emissions of their vehicles. Under the agreement, the vehicle makers committed themselves to cutting a variety of emissions by 5.3 million metric tons by the end of 2010. The plan sets targets staggered over five years and requires regular reviews by a group of government and industry representatives."
{u'main': u'World Briefing | Americas: Canada: Making Kyoto Pact Official'},"Canada formally ratified the Kyoto Protocol, the climate treaty rejected last year by the Bush administration but accepted by almost all other industrial powers. The treaty, once enacted, will require participating industrialized countries by 2012...",https://www.nytimes.com/2002/12/18/world/world-briefing-americas-canada-making-kyoto-pact-official.html,"Canada formally ratified the Kyoto Protocol, the climate treaty rejected last year by the Bush administration but accepted by almost all other industrial powers. The treaty, once enacted, will require participating industrialized countries by 2012 to reduce emissions of heat-trapping greenhouse gases below levels measured in 1990. Canadians voiced strong support for the treaty in opinion polls, but provinces with significant reserves of coal and oil, notably Alberta, opposed it. Those fuels are the dominant source of carbon dioxide, the main greenhouse gas. Andrew C. Revkin (NYT)"
"{u'main': u'Justin Trudeau, Canadian Prime Minister, Making Rare Official Visit', u'print_headline': u'Canadian Leader Making Rare State Visit'}",The first state visit by a Canadian leader in 19 years was made possible in part by new pledges of cooperation on combating climate change....,https://www.nytimes.com/2016/03/10/us/politics/canada-leader-justin-tredeau-obama-visit.html,The first state visit by a Canadian leader in 19 years was made possible in part by new pledges of cooperation on combating climate change.
"{u'main': u'Dry Winter and Warm Spring Set Stage for Wildfire in Canada', u'print_headline': u'Early Spring and El Ni\xf1o Fuel Inferno in Canada'}","El Niño played a role in the Fort McMurray fire in Alberta, scientists say, by creating conditions in which vegetation can ignite more readily....",https://www.nytimes.com/2016/05/06/science/dry-winter-and-warm-spring-set-stage-for-canadian-inferno.html,"El Niño played a role in the Fort McMurray fire in Alberta, scientists say, by creating conditions in which vegetation can ignite more readily."
"{u'main': u'Canada Wonders, if U.S. Balks, Is Carbon Pricing Still the Answer?', u'print_headline': u'Eye on Trump, Canada Debates Carbon Pricing'}",Donald J. Trump’s stance on climate change has ignited a debate over a plan by Prime Minister Justin Trudeau to reduce carbon emissions by putting a price on them....,https://www.nytimes.com/2016/12/08/world/canada/canada-carbon-pricing-environment-energy.html,Donald J. Trump’s stance on climate change has ignited a debate over a plan by Prime Minister Justin Trudeau to reduce carbon emissions by putting a price on them.
"{u'main': u'In Canada, Pipeline Remarks Stir Analysis', u'print_headline': u'In Canada, Pipeline Remarks Stir Analysis'}","President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase....",https://www.nytimes.com/2013/06/27/business/energy-environment/in-canada-pipeline-remarks-stir-analysis.html,"President Obama, in Canada, says the Keystone XL pipeline would be built only if carbon pollution would not increase."
"{u'main': u'First Carbon Capture Plant Opens in Canada', u'print_headline': u'Plant to Capture Carbon Opens in Western Canada'}",The world’s first large-scale project to capture the greenhouse gas carbon dioxide from a coal-burning power plant opened on Wednesday in Saskatchewan....,https://www.nytimes.com/2014/10/03/science/first-carbon-capture-plant-opens-in-canada.html,The world’s first large-scale project to capture the greenhouse gas carbon dioxide from a coal-burning power plant opened on Wednesday in Saskatchewan.
"{u'main': u'Canada: Pledge Sent to U.N. to Reduce Greenhouse Gas Emissions by 2030', u'print_headline': u'The Americas; Canada: Pledge Sent to U.N. to Reduce Greenhouse Gas Emissions by 2030', u'content_kicker': u'World Briefing'}",Prime Minister Stephen Harper’s government said Friday that Canada would reduce greenhouse gas emissions by 30 percent below 2005 levels by 2030....,https://www.nytimes.com/2015/05/16/world/americas/canada-pledge-sent-to-un-to-reduce-greenhouse-gas-emissions-by-2030.html,Prime Minister Stephen Harper’s government said Friday that Canada would reduce greenhouse gas emissions by 30 percent below 2005 levels by 2030.
"{u'main': u'Canada\u2019s Trudeau Steps Up on Climate Change', u'kicker': u'Editorial', u'print_headline': u'Canada Steps Up on Climate Change', u'content_kicker': u'Editorial'}","The prime minister’s plan to put a price on carbon emissions is a significant environmental step, and leaves provinces with choices on how to carry it out....",https://www.nytimes.com/2016/10/07/opinion/canadas-trudeau-steps-up-on-climate-change.html,"The prime minister’s plan to put a price on carbon emissions is a significant environmental step, and leaves provinces with choices on how to carry it out."
{u'main': u'Canada Reinforces Its Disputed Claims in the Arctic'},"Hundreds of Canadian troops were all around. Helicopters swooped over the tin roofs of this isolated hamlet. A navy frigate and coast guard icebreaker were moored and readied in a nearby fjord. Across the bay, Master Cpl. Carl Gale was doing his p...",https://www.nytimes.com/2004/08/29/world/canada-reinforces-its-disputed-claims-in-the-arctic.html,"Hundreds of Canadian troops were all around. Helicopters swooped over the tin roofs of this isolated hamlet. A navy frigate and coast guard icebreaker were moored and readied in a nearby fjord. Across the bay, Master Cpl. Carl Gale was doing his part, too, as he introduced himself to an Eskimo family out picking wild blueberries. ''I suppose you know we are up here for training,'' he told Aluki Metuq, 31, and her four children, and then asked if they had seen any of the mock satellite debris his unit was hunting for. They had not. But the troops and their Eskimo Ranger guides gathered in a field of flowering moss anyway to join them for a snack of berries and a friendly chat before the patrol resumed."
"{u'seo': u'Despite Mild Winter and Few Hunters, Seal Pups Face Threats', u'main': u'Despite Few Hunters, Seal Pups Face Threats', u'print_headline': u'Mild Winter Saves Canadian Seal Pups From Hunters, but Brings Other Dangers'}","The same warm weather that has kept hunters’ boats in harbors has also reduced the amount of ice, a main habitat for harp seals....",https://www.nytimes.com/2010/04/02/world/americas/02seal.html,"The same warm weather that has kept hunters’ boats in harbors has also reduced the amount of ice, a main habitat for harp seals."
"{u'main': u'Canada\u2019s New Leadership Reverses Course on Climate Change', u'print_headline': u' New Leadership Quickly Reverses Canada&#8217;s Position on Climate Change '}","The new prime minister, Justin Trudeau, has moved climate-change policy to the top of the country’s political agenda after it spent nearly a decade as an afterthought....",https://www.nytimes.com/2015/11/27/world/americas/canadas-new-leadership-reverses-course-on-climate-change.html,"The new prime minister, Justin Trudeau, has moved climate-change policy to the top of the country’s political agenda after it spent nearly a decade as an afterthought."
"{u'main': u'Canada Is Slow to Act on Emissions, Audit Warns', u'kicker': u'green'}","The government has not undertaken the kinds of analyses that would be needed to reduce emissions sector by sector, the environment commissioner warns....",https://green.blogs.nytimes.com/2012/05/08/report-upbraids-canadian-government-on-emissions/,
"{u'main': u'Obama, Justin Trudeau and Enrique Pe\xf1a Nieto Focus on Climate, Both Political and Global', u'print_headline': u'Canada Summit Meeting Focuses on Climate, Both Political and Global'}","The three North American leaders met in Ottawa, focusing on climate change and the ripples from Britain’s vote, and disavowed nativist political currents....",https://www.nytimes.com/2016/06/30/world/americas/obama-justin-trudeau-canada-mexico.html,"The three North American leaders met in Ottawa, focusing on climate change and the ripples from Britain’s vote, and disavowed nativist political currents."
"{u'main': u'On Keystone and Climate, Bloomberg Presses Obama to Negotiate with Canada Instead of Congress', u'kicker': u'Dot Earth'}",Former Mayor Bloomberg presses Obama to bypass Keystone gridlock by seeking climate progress in Canada....,https://dotearth.blogs.nytimes.com/2015/02/25/on-keystone-and-climate-bloomberg-presses-obama-to-negotiate-with-canada-instead-of-congress/,
"{u'main': u'Is Canada Tarring Itself?', u'kicker': u'Op-Ed Contributor', u'print_headline': u'Is Canada Tarring Itself?', u'content_kicker': u'Op-Ed Contributor'}",Oil development is changing the country’s political life....,https://www.nytimes.com/2014/03/31/opinion/is-canada-tarring-itself.html,Oil development is changing the country’s political life.
"{u'main': u'Canada Determined to Diversify Despite Keystone XL Approval', u'print_headline': u'Canada Determined to Diversify Despite Keystone XL Approval'}","Canada's natural resource minister said Saturday his government is happy the Keystone XL pipeline has finally been approved by the White House, but he noted that obstacles remain and said Canada remains determined to diversify its oil exports beyo...",https://www.nytimes.com/aponline/2017/03/25/world/ap-cn-canada-pipeline.html,"Canada's natural resource minister said Saturday his government is happy the Keystone XL pipeline has finally been approved by the White House, but he noted that obstacles remain and said Canada remains determined to diversify its oil exports beyond the United States."
"{u'main': u'Canada Debates Emissions', u'print_headline': u'Canada Debates Emissions'}",Canada’s Parliament urged the minority Conservative government to stick to emissions targets laid out by the Kyoto protocol....,https://www.nytimes.com/2007/02/06/world/americas/06canada.html,Canada’s Parliament urged the minority Conservative government to stick to emissions targets laid out by the Kyoto protocol.
"{u'main': u'US, Canada Broker Agreement to Share Dwindling Cod Fishing', u'print_headline': u'US, Canada Broker Agreement to Share Dwindling Cod Fishing'}",The United States and Canada have brokered a deal to share what's left of the dwindling North American cod fishing business in the Atlantic next year....,https://www.nytimes.com/aponline/2016/09/21/us/ap-us-cod-fishing.html,The United States and Canada have brokered a deal to share what's left of the dwindling North American cod fishing business in the Atlantic next year.
"{u'main': u'Canada to Patrol Arctic Ocean to Press Claim of Sovereignty', u'print_headline': u'Canada to Patrol Arctic Ocean To Press Claim Of Sovereignty'}",Prime Minister Stephen Harper backed away on Monday from an election pledge for navy icebreakers that would ply the waters of the Northwest Passage all year....,https://www.nytimes.com/2007/07/10/world/americas/10canada.html,Prime Minister Stephen Harper backed away on Monday from an election pledge for navy icebreakers that would ply the waters of the Northwest Passage all year.
"{u'main': u'When Canadian Scientists Were Muzzled by Their Government', u'kicker': u'Op-Ed Contributor', u'print_headline': u'When Canada Muzzled Science', u'content_kicker': u'Op-Ed Contributor'}",American scientists should learn from their northern neighbors. Reject interference. Stay vigilant. Stay scientists....,https://www.nytimes.com/2017/02/14/opinion/when-canadian-scientists-were-muzzled-by-their-government.html,American scientists should learn from their northern neighbors. Reject interference. Stay vigilant. Stay scientists.
{u'main': u'CAMPBELL CAPTURES CANADIAN AMATEUR; Seattle Youth Becomes Second U.S. Golfer in 38 Years to Hold the Title.'},Wins Canadian amateur championship...,https://query.nytimes.com/gst/abstract.html?res=9F02E5DF163DE333A25755C1A9619C946294D6CF,
{u'main': u'CANADIAN VETERANS OF 1812.'},Distributing Pensions Among...,https://query.nytimes.com/gst/abstract.html?res=9E01E6DA133BEF34BC4F52DFB667838E669FDE,
"{u'main': u""Canada to Tell World It's Serious About Climate Change, Says PM"", u'print_headline': u""Canada to Tell World It's Serious About Climate Change, Says PM""}","Canada will tell a green summit next week that it is finally ready to tackle climate change, Prime Minister Justin Trudeau said on Monday after a meeting with the country's provinces to work out a national strategy....",https://www.nytimes.com/reuters/2015/11/23/world/americas/23reuters-climatechange-summit-canada.html,"Canada will tell a green summit next week that it is finally ready to tackle climate change, Prime Minister Justin Trudeau said on Monday after a meeting with the country's provinces to work out a national strategy."
"{u'main': u'CANADA.; A Raid in Contemplation--The Thomas Scott Murder in Red River--Return of the Papal Zouaves.', u'kicker': u'1'}","Today's Globe says that the British Minister at Washington has intimated to the Dominion Government that the American Executive has received a warming of a projected raid along the frontier, from Port Huron to St. Albans, to take place on the 15th...",https://query.nytimes.com/gst/abstract.html?res=9B04E5DE143BE63BBC4F53DFB266838B669FDE,"Today's Globe says that the British Minister at Washington has intimated to the Dominion Government that the American Executive has received a warming of a projected raid along the frontier, from Port Huron to St. Albans, to take place on the 15th of April."
"{u'main': u'CANADA.; A Raid in Contemplation--The Thomas Scott Murder in Red River--Return of the Papal Zouaves.', u'kicker': u'1'}","Today's Globe says that the British Minister at Washington has intimated to the Dominion Government that the American Executive has received a warming of a projected raid along the frontier, from Port Huron to St. Albans, to take place on the 15th...",https://query.nytimes.com/gst/abstract.html?res=9B04E5DE143BE63BBC4F53DFB266838B669FDE,"Today's Globe says that the British Minister at Washington has intimated to the Dominion Government that the American Executive has received a warming of a projected raid along the frontier, from Port Huron to St. Albans, to take place on the 15th of April."
"{u'main': u'On Our Radar: Canadian Oil and China', u'kicker': u'Green'}",British Columbia's premier says the environmental costs of the Northern Gateway pipeline project would outstrip any economic benefits....,https://green.blogs.nytimes.com/2012/07/24/on-our-radar-canadian-oil-and-china/,
{u'main': u'Norway and Canada Call for Pact to Protect Atmosphere'},LEAD: The Prime Ministers of Canada and Norway called today for a binding international agreement to protect the atmosphere from pollution....,https://www.nytimes.com/1988/06/28/science/norway-and-canada-call-for-pact-to-protect-atmosphere.html,LEAD: The Prime Ministers of Canada and Norway called today for a binding international agreement to protect the atmosphere from pollution.
"{u'main': u'CANADA', u'kicker': u'CAPTURING THE HOLIDAY SPIRIT'}","This is a special season in much of the world. In some countries Christmas is the centerpiece of the celebration, in others New Year's or Twelfth Night. Following are reports from 15 Times correspondents and bureaus on how the holidays are celebra...",https://www.nytimes.com/1985/12/22/travel/capturing-the-holiday-spirit-canada.html,"This is a special season in much of the world. In some countries Christmas is the centerpiece of the celebration, in others New Year's or Twelfth Night. Following are reports from 15 Times correspondents and bureaus on how the holidays are celebrated in their areas, and tips on how a visitor can join in - or cope with - them."
